category,subcategory,product_name
Lacteos,Leche Nito,Leche Nito
Lacteos,Leche Gansito,Leche Gansito
Barras,Sanissimo,Granola Sanissimo
Barras,Bimbo,Multigrano Linaza
Barras,Bimbo,Multigrano Nuez
Barras,Bimbo,Multigrano Chia
Barras,Bimbo,Bran Frut Fresa
Barras,Bimbo,Bran Frut Pina
Barras,Bimbo,Bran Frut 3 Avena
Pasteles,Marinela,Gansito
Pasteles,Marinela,Pinguinos
Pasteles,Marinela,Choco Roles Pina
Pasteles,Marinela,Submarinos Vainilla
Pasteles,Marinela,Submarinos Fresa
Pasteles,Marinela,Submarinos Chocolate
Pasteles,Marinela,Mini Gansito
Pasteles,Marinela,Mini Pinguino
Pasteles,Marinela,Dalmata
Pasteles,Marinela,Chocotorro
Pasteles,Marinela,Pastelino Tiramisu
Pasteles,Marinela,Pastelino Chocolate
Pasteles,Marinela,Pinguis
Pasteles,Marinela,Choko
Confiteria,Ricolino,Panditas
Confiteria,Ricolino,Panditas Suaves
Confiteria,Ricolino,Choco Pandita
Confiteria,Ricolino,Maxi Pandita
Confiteria,Ricolino,Kranky
Confiteria,Ricolino,Kranky Krank
Confiteria,Ricolino,Paleta Payaso
Confiteria,Ricolino,Paleta Payasita
Confiteria,Ricolino,Payasines
Confiteria,Ricolino,Pecositas
Confiteria,Ricolino,Pecositas Sobre
Confiteria,Ricolino,Moritas
Confiteria,Ricolino,Chocoretas
Confiteria,Ricolino,Bubulubu
Confiteria,Ricolino,Pasitas
Confiteria,Ricolino,Monedas
Confiteria,Ricolino,Chutazo
Confiteria,Ricolino,Duvalin
Confiteria,Ricolino,Dulcigomas
Confiteria,Ricolino,Frutigomas
Confiteria,Ricolino,Gomilocas Dientes
Confiteria,Ricolino,Gomilocas Hamburguesas
Confiteria,Ricolino,Gomilocas Pinguinos
Alimentos preparados,Lonchibon,Burritos Carne
Alimentos preparados,Lonchibon,Burritos Sincro
Alimentos preparados,Lonchibon,Burritos Frijol y Queso
Alimentos preparados,Lonchibon,Burritos Mole
Alimentos preparados,Lonchibon,Burritos Mix
Alimentos preparados,Lonchibon,Haz Sandwich Blanco
Alimentos preparados,Lonchibon,Haz Sandwich Blanco Philadelphia
Alimentos preparados,Lonchibon,Haz Sandwich Doble Fibra
Alimentos preparados,Lonchibon,Haz Sandwich Linaza
Alimentos preparados,Lonchibon,Bimkingo
Alimentos preparados,Lonchibon,Cuernito Philadelphia
Tortillas y tostadas,Tortillas,Tortillinas
Tortillas y tostadas,Tortillas,Tortillinas 50% menos grasa
Tortillas y tostadas,Tortillas,Tortillinas con Granos Enteros
Tortillas y tostadas,Tortillas,Tortillinas Mantequilla
Tortillas y tostadas,Tortillas,Tortillinas Max
Tortillas y tostadas,Tostadas,Salmas
Tortillas y tostadas,Tostadas,Salmas Azul
Tortillas y tostadas,Tostadas,Salmas Nopal
Tortillas y tostadas,Tostadas,Cevicheras Horneadas
Tortillas y tostadas,Tostadas,Cevicheras Horneadas del Pacifico
Tortillas y tostadas,Tostadas,Mitas
Tortillas y tostadas,Tostadas,Tostadas Onduladas
Tortillas y tostadas,Tostadas,Tostadas Rojas
Tortillas y tostadas,Tostadas,Tostadas Planas
Tortillas y tostadas,Tostadas,Tostadas Regionales
Tortillas y tostadas,Tostadas,Totopos
Galletas,Tia Rosa,Tartinas Fresa
Galletas,Tia Rosa,Tartinas Pina
Galletas,Tia Rosa,Tartinas Zarzamora
Galletas,Tia Rosa,Polvoroncitos
Galletas,Tia Rosa,Galletas con Avena Tia Rosa
Galletas,Tia Rosa,Avelleta con chispas de chocolate
Galletas,Tia Rosa,Cereleta
Galletas,Tia Rosa,Arandaleta
Galletas,Tia Rosa,Suspiros sabor Chabacano
Galletas,Marinela,Barritas Fresa
Galletas,Marinela,Barritas Salvado Fresa
Galletas,Marinela,Barritas de Pina
